Table S6. OTUs greater than 0.3% of the total reads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#OTU ID,CDI04,PXA40,CXA31,CBJ42,CDI11,CBJ34,PBJ07,CXA28,PBJ31,PBJ47,PBJ50,PXA35,PXA38,CBJ29,CBJ37,CBJ45,CDI02,PXA36,CBJ30,CBJ36,CBJ48,CDI10,PBJ68,PBJ61,PBJ16,CBJ40,CXA32,CBJ35,PBJ04,CBJ46,PBJ14,CDI17,PXA13,CDI05,CXA19,PBJ03,PBJ01,CBJ32,PBJ54,PBJ62,PBJ66,CDI01,CDI12,CDI14,CDI18,CXA27,CXA30,PBJ67,CDI03,CXA29,PBJ06,PBJ71,CXA34,CBJ38,CDI13,CDI19,PBJ59,CDI09,CBJ39,PBJ55,PBJ49,PBJ69,PBJ28,CBJ51,PBJ60,PBJ64,CBJ33,PXA39,PBJ24,PBJ63,CDI15,PBJ26,CBJ41,CBJ43,CDI16,PBJ25,PBJ27,PBJ44,PBJ65,PBJ05,PBJ58,PBJ70,taxonomy
585914,141,142,6,101,57,0,0,422,698,263,1604,192,94,907,103,6,13,514,397,58,1196,647,51,200,216,485,135,355,1586,43,3,5,304,0,183,80,581,363,4,235,101,126,0,36,513,131,128,6,86,248,32,4,868,47,0,56,637,57,352,37,166,67,192,250,36,257,162,50,0,10,120,0,289,0,10,0,0,0,29,231,0,1,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides; s__distasonis
344523,301,1,2,0,0,24,0,0,1,8,786,0,0,0,1,0,332,0,1308,0,0,322,0,0,230,1,17,191,0,0,0,1,3,1,0,280,0,1,0,0,40,7,1,1,0,0,0,1,0,0,0,40,301,71,1,1,0,195,207,0,145,0,2,19,0,1,1823,126,4,1,302,0,0,0,343,0,30,0,87,350,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
564806,40,635,4,62,3,12,158,65,34,362,83,3,16,127,50,10,14,9,28,8,25,60,26,11,14,66,454,26,7277,16,390,410,523,22,7,47,184,16,31,272,47,22,157,0,15,7,4,1,236,31,30,102,30,50,264,23,343,10,52,5,11,234,666,5,18,297,28,14,32,3,3,301,191,16,163,737,558,68,35,45,2,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
708680,1409,453,791,690,1012,361,1,9,1099,1138,607,3,4688,1,77,2,453,58,37,1770,131,5,135,155,363,77,0,966,0,267,0,16,1,1967,445,536,0,1959,68,0,775,2135,7,109,985,196,1761,737,13,1117,0,419,2122,793,1,408,1,1595,765,6004,1067,0,2,17,857,0,1247,937,1177,118,4674,0,1,11,190,0,4,0,21,677,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
325808,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,185,392,2633,1,0,68,1,48,158,0,0,0,1,2,7108,77,0,703,6847,0,81,0,0,6,0,0,0,0,1,1246,0,1641,3560,1676,7,1,1,0,328,4,0,0,0,0,0,47,4,21,0,0,0,694,7,0,0,0,5,0,2,0,3939,975,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Megamonas; s__
370098,543,19,2,104,388,53,0,2,26,0,50,1508,161,0,388,9,120,0,315,126,0,137,3,89,114,29,2,2,0,140,0,19,2,169,529,16,0,228,0,0,102,1,85,2,113,316,82,877,341,5,1,208,404,101,0,1,0,175,387,8,7,0,0,541,1,0,28,617,307,10,176,0,6,0,29,0,0,0,6,183,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnospira; s__
314095,1,35,1,12,3,647,0,0,309,0,0,1,1446,0,139,1,1640,71,684,177,468,72,0,0,7,17,14,0,0,0,0,2,0,1,179,375,0,106,8,4,64,608,1,0,445,52,28,59,0,112,0,229,15,40,0,287,0,45,412,158,0,0,2,102,0,2,1143,9,285,11,227,0,654,3744,0,0,0,0,0,0,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnospira; s__
339013,163,6,92,0,78,3,1,6,4,1,161,55,14,141,96,0,235,1,152,148,0,0,5,126,371,24,2,467,87,5,18,9,1011,83,3,4,5,59,11,7,31,1,35,25,381,1,128,1,3,0,13,0,19,44,0,23,241,133,58,11,3,50,11,76,61,11,2,38,5,12,55,1075,37,0,0,0,3948,0,0,38,0,0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__caccae
2979308,93,2,1,0,6,3,0,0,4,36,11,2,0,2,1,0,9,0,1,7,7,267,6,0,0,11,12,0,57,0,790,8,0,0,18,27,0,11,1,629,89,30,4831,0,237,61,8,0,3,47,0,1,0,0,20,4,3,13,202,6,5,0,0,3,7,6,0,1,0,0,1,0,0,0,12,0,0,0,3,2,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
370086,20,0,4,1,0,0,0,2,121,4,887,0,0,0,12,3,29,0,0,0,1,1950,0,1,0,1,0,347,0,272,0,1,0,1096,0,875,0,1305,4,0,0,6,0,0,440,0,558,0,0,0,0,0,0,463,0,369,41,659,88,146,10,0,1,1639,2,22,13,0,0,18,1,0,0,0,73,0,2,0,6,17,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
356052,638,7,0,1,0,0,0,0,0,2,0,0,0,2449,8,0,0,0,11,1333,0,0,0,1107,0,44,0,2853,0,0,0,143,0,0,10,1,0,0,38,2894,0,3,0,616,0,0,1,0,0,2761,0,0,0,4,0,0,1,32,1,0,0,0,0,0,2,0,0,2492,0,2,2,0,0,0,1,0,0,0,0,1,0,0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
589329,0,2,0,0,0,0,0,1,2,0,1,0,0,0,3,9555,0,0,1,0,1,1,920,5105,12,226,0,1,0,15328,2,0,0,0,5,0,35,0,0,0,0,4,0,18393,0,0,5,2,0,3,0,0,4,5,1,0,0,5,331,0,0,0,1,0,17,0,0,0,0,17666,11949,0,0,1,25,0,4,0,7917,8040,0,1,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri
589277,292,90,164,0,1003,22,1237,101,151,157,3487,1359,284,42,78,16,140,186,93,122,193,164,53,26,2873,54,308,115,2245,62,32,127,151,52,96,1182,317,86,245,47,315,15,4683,248,163,57,123,52,262,66,96,69,57,180,169,205,35,256,6850,4767,6204,669,29,423,567,591,2,4954,0,5,4,3053,2,1,2,1,0,1,62,31,2,0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
584375,305,314,3,1,27,48,0,1,3,0,0,18,5,2,2,716,10,4,78,0,5,1,2,1,5,15,3,1,0,389,0,219,0,7241,915,1,0,2,0,8,801,544,0,366,1,10,1,2,4,10,4,16,22,0,6,630,0,18,1,20,9,0,0,6,10,0,2,126,4,95,0,17,0,2,17,0,0,0,3,3,0,0,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__adolescentis
347138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,111,0,0,0,0,4288,0,0,0,0,0,0,1166,0,0,0,0,6,0,0,0,1957,0,0,0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__stercorea
183480,320,495,223,0,0,480,0,287,768,0,0,256,55,68,824,0,9,0,1,316,0,915,36,168,385,800,0,0,763,96,0,463,1,1,579,12,11,1089,4,0,189,102,0,68,428,0,0,43,363,355,1,6,0,1013,0,117,542,2,454,0,0,0,3,624,760,158,18,144,32,13,101,0,0,0,136,0,1,0,2,378,0,0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
851323,57,141,0,286,82,0,0,0,0,1,0,176,32,58,199,0,900,7,0,94,0,0,132,198,538,2,16,184,947,27,0,71,1,0,1,88,22,0,170,329,35,319,0,54,0,0,0,65,121,0,305,83,0,106,0,32,1750,10,2,177,0,627,21,70,229,17,0,26,0,4,0,0,1243,1,0,0,0,0,39,43,0,0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides; s__
2200896,0,1,0,0,0,0,3794,0,278,0,2,78,301,1,3030,1,55,2099,0,0,0,0,0,0,0,3066,0,15,0,0,2,1,0,0,0,721,0,707,0,4,0,1,0,0,1,0,0,0,0,0,0,0,6,1406,0,0,0,301,8,92,396,1,3651,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,5,0,640,0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__fragilis
589071,825,548,7,310,428,1,1476,1363,1,1813,1657,849,270,766,520,1,2,1455,2307,620,568,1,301,117,1270,757,334,1233,574,121,1,290,4,1600,1478,311,76,1828,547,708,212,327,367,96,656,1437,1288,126,1765,165,181,6,695,632,4,135,3393,2008,3497,567,21,846,640,505,6341,485,8,1476,24,26,118,2127,596,3,2,2,2,0,830,150,0,0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__uniformis
367213,646,431,338,0,310,0,0,3,241,53,1,346,372,1,95,342,3,2217,199,105,0,95,110,117,92,669,881,33,0,1129,1,1649,0,2,106,239,3,304,12,0,221,7675,556,234,442,66,296,46,6,0,0,162,19,285,0,282,282,3,57,245,189,22,0,207,134,217,476,720,667,75,447,1,1,0,0,0,2,0,54,56,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
562038,12,5,121,623,136,90,0,0,401,278,11,981,9,106,77,2,366,3,6,4,1503,0,1,1,88,1,6,5,0,3,12,1,0,18,290,12,0,23,2,0,10,6,2,0,258,91,32,1526,0,281,0,469,6,12,0,54,0,62,491,24,84,0,1,0,108,0,1106,3,14,3,1339,0,0,8,0,0,0,0,37,116,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae
1085832,142,215,715,62,102,56,0,461,35,183,37,657,259,243,147,311,222,142,154,793,240,80,46,758,43,211,20,4,0,58,1,19,1,484,116,36,141,25,949,115,10,1212,19,33,440,148,91,74,100,71,56,6,236,58,26,87,71,137,107,80,15,146,1,79,11,3,23,24,65,23,5,23,69,16,55,17,760,156,8,126,204,1,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__
593043,6,0,691,501,4,75,507,6,640,2,1,1,2,20,1746,57,84,1,0,0,2,0,0,795,4,2,2,1,6,4,0,1,125,86,539,0,0,2,0,0,9,6,140,68,0,4032,0,2,0,377,2377,0,0,4,7290,0,1,271,379,2135,135,0,0,555,121,0,1234,0,1,1,91,0,178,5,1253,0,0,0,3,24,0,0,k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Akkermansia; s__muciniphila
222842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,792,680,1,0,0,74,1,117,29,0,0,0,0,2,2803,0,1,1443,3965,0,0,0,0,6,0,1,0,0,0,244,0,1199,2,1442,0,1,0,0,336,10,0,0,0,0,0,104,1,3410,0,0,0,1146,1281,0,0,0,1,0,1,0,1231,1256,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Megamonas; s__
369486,69,16,312,351,1307,125,0,1,0,7,31,0,0,1,2,3,1014,298,100,626,1,124,37,0,66,26,40,290,0,0,41,0,0,120,190,221,0,322,1,1,0,5,431,6,18,21,22,0,16,104,1,809,4,61,0,1,2,67,393,248,0,0,2,37,454,0,311,0,34,28,179,0,1751,3,1,0,2,0,3,10,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnospira; s__
535375,95,157,1077,0,292,1009,1405,294,125,942,3539,1500,362,62,1352,15,616,237,43,611,583,1,43,283,790,728,294,173,2532,167,588,15,1022,2069,250,208,99,1330,204,159,70,226,529,29,84,179,1259,43,680,165,122,61,1455,876,3551,22,463,2867,2787,800,387,859,249,118,293,53,32,855,692,5,118,746,655,1,137,0,1,1,68,541,0,0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
403701,161,6,715,52,0,877,0,3,656,1574,491,0,0,0,345,3,790,1,61,4,6,700,0,0,266,0,0,1111,0,2,0,2,0,665,1,1,0,12,8,1,10,1656,1,0,896,147,1064,1,0,3,2,20,1204,1793,109,0,0,18,0,4,4,0,0,0,802,3,1459,0,13,0,155,0,0,1,4044,0,1,0,0,0,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Dialister; s__
577170,1265,2400,6310,1,5518,956,1,5507,7005,4816,1948,1892,3392,2771,3463,665,6551,5540,3774,5211,8141,8868,539,1249,2350,1552,4805,4660,1,3499,1123,184,4397,1919,1888,215,8812,3024,7379,2307,488,729,83,49,4407,2199,4748,2119,10795,2962,4335,4015,3029,5511,5631,358,1396,2959,151,5,33,225,1150,1304,467,1048,48,23,2,51,211,9,0,0,90,0,5,3,378,690,0,1,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
523140,41,88,173,9,142,74,0,138,121,0,310,183,198,1,1,0,95,0,0,0,39,1172,47,0,145,1,69,203,0,17,0,65,12,144,67,163,0,1,67,0,900,182,4,0,63,0,224,2,13,31,0,54,0,3,0,92,77,1,137,131,327,0,3,304,42,15,378,1,3,0,4,0,0,0,11,0,42,0,0,67,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus
342427,54,42,73,151,22,61,235,94,67,65,3,112,5,15,87,12,129,136,33,306,162,2,0,760,3,27,15,32,2320,7,14,0,813,106,17,31,0,3,518,180,29,24,14,1,135,94,14,21,1,3,57,19,111,47,375,2,0,12,6,39,13,27,3683,2,0,0,14,23,112,4,12,100,547,4063,30,1,2561,3588,3,151,182,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Veillonella; s__dispar
